ORF,Observed Expression,Protein Molecules/Cell,Standard Deviation,CEC,Spurious
YLR005W,Both,2.34E+03,-,0.7,0
YLR006C,Both,1.20E+03,-,0.72,0
YLR007W,None,-,-,0.47,0
YLR008C,None,-,-,0.62,0
YLR009W,None,-,-,0.66,0
YLR010C,None,-,-,0.45,0
YLR011W,Both,1.27E+03,-,0.37,0
YLR012C,None,-,-,0.52,0
YLR013W,None,-,-,0.36,0
YLR014C,None,-,-,0.72,0
YLR015W,Both,1.31E+03,-,0.75,0
YLR016C,Both,1.47E+03,-,0.51,0
YLR017W,Both,4.82E+03,-,0.67,0
YLR018C,GFP,-,-,0.2,0
YLR019W,None,-,-,0.71,0
YLR020C,Both,1.63E+03,-,0.66,0
YLR021W,TAP,1.82E+03,-,0.6,0
YLR022C,Both,5.06E+03,-,0.54,0
YLR023C,GFP,-,-,0.52,0
YLR024C,Both,4.92E+01,-,0.72,0
YLR025W,Both,3.27E+03,-,0.68,0
YLR026C,TAP,3.00E+02,-,0.58,0
YLR027C,TAP,7.70E+03,-,0.59,0
YLR028C,Both,7.70E+03,-,0.77,0
YLR029C,None,-,-,0.49,0
YLR030W,None,-,-,0.62,0
YLR031W,None,-,-,0.52,0
YLR032W,Both,1.52E+03,-,0.84,0
YLR033W,Both,4.46E+03,-,0.79,0
YLR034C,Both,%,-,0.52,0
YLR035C,Both,7.16E+01,-,0.8,0
YLR035C-A,Both,2.17E+02,-,0.68,0
YLR036C,Both,9.67E+02,-,0.32,0
YLR037C,None,-,-,0.44,0
YLR038C,Both,1.39E+03,-,0.55,0
YLR039C,Both,7.86E+01,-,0.71,0
YLR040C,None,-,-,0.37,0
YLR041W,None,-,-,0.29,0
YLR042C,GFP,-,-,0.32,0
YLR043C,Both,8.58E+03,-,0.66,0
YLR044C,Both,8.97E+03,-,0.6,0
YLR045C,Both,1.66E+03,-,0.76,0
YLR046C,None,-,-,0.18,0
YLR047C,None,-,-,0.44,0
YLR048W,Both,6.09E+04,-,0.66,0
YLR049C,TAP,3.39E+02,-,0.54,0
YLR050C,Both,3.58E+02,-,0.15,0
YLR051C,GFP,-,-,0.67,0
YLR052W,Both,2.28E+03,-,0.68,0
YLR053C,None,-,-,0.39,0
YLR054C,None,-,-,0.69,0
YLR055C,Both,8.43E+03,-,0.63,0
YLR056W,Both,3.62E+04,-,0.47,0
YLR057W,TAP,7.16E+01,-,0.73,0
YLR058C,Both,6.76E+04,-,0.69,0
YLR059C,Both,1.73E+03,-,0.33,0
YLR060W,Both,5.44E+03,1.19E+03,0.8,0
YLR061W,Both,6.04E+04,-,0.6,0
YLR062C,None,-,-,0.23,1
YLR063W,Both,#,-,0.56,0
YLR064W,Both,2.24E+03,-,0.09,0
YLR065C,GFP,-,-,0.36,0
YLR066W,Both,6.84E+03,-,0.5,0
YLR067C,Both,1.16E+03,-,0.67,0
YLR068W,Both,1.46E+03,-,0.57,0
YLR069C,Both,6.35E+03,-,0.81,0
YLR070C,None,-,-,0.52,0
YLR071C,Both,3.19E+02,-,0.69,0
YLR072W,Both,6.72E+02,-,0.62,0
YLR073C,Both,3.77E+02,-,0.26,0
YLR074C,Both,5.63E+03,-,0.49,0
YLR075W,GFP,-,-,0.6,0
YLR076C,None,-,-,0.27,0
YLR077W,TAP,#,-,0.65,0
YLR078C,None,-,-,0.72,0
YLR079W,Both,7.68E+02,-,0.56,0
YLR080W,GFP,-,-,0.59,0
YLR081W,None,-,-,0.57,0
YLR082C,Both,5.38E+02,-,0.7,0
YLR083C,Both,#,-,0.62,0
YLR084C,Both,3.67E+03,-,0.62,0
YLR085C,Both,2.38E+02,-,0.61,0
YLR086W,Both,5.73E+02,-,0.83,0
YLR087C,None,-,-,0.82,0
YLR088W,Both,%,-,0.6,0
YLR089C,TAP,9.96E+03,-,0.79,0
YLR090W,Both,1.21E+03,-,0.63,0
YLR091W,Both,%,-,0.11,0
YLR092W,None,-,-,0.75,0
YLR093C,Both,1.89E+03,-,0.4,0
YLR094C,Both,1.05E+03,-,0.47,0
YLR095C,Both,7.52E+03,-,0.67,0
YLR096W,GFP,-,-,0.71,0
YLR097C,TAP,%,-,0.68,0
YLR098C,Both,3.96E+02,-,0.77,0
YLR099C,None,-,-,0.35,0
YLR099W-A,TAP,%,-,0.25,0
YLR100W,Both,%,-,0.58,0
YLR101C,None,-,-,-0.02,1
YLR102C,Both,%,-,0.38,0
YLR103C,Both,1.73E+03,4.49E+02,0.67,0
YLR104W,TAP,1.99E+03,-,0.27,0
YLR105C,Both,3.19E+02,5.35E+01,0.59,0
YLR106C,Both,5.38E+02,-,0.92,0
YLR107W,Both,%,-,0.63,0
YLR108C,Both,1.89E+02,-,0.66,0
YLR109W,Both,1.62E+04,-,0.6,0
YLR110C,Both,1.58E+05,-,0.36,0
YLR111W,None,-,-,-0.08,1
YLR112W,None,-,-,-0.08,1
YLR113W,Both,6.78E+03,-,0.69,0
YLR114C,Both,7.50E+03,-,0.79,0
YLR115W,Both,3.06E+03,2.39E+02,0.81,0
YLR116W,Both,4.38E+03,2.03E+02,0.41,0
YLR117C,Both,2.14E+03,2.04E+02,0.69,0
YLR118C,Both,1.48E+03,-,0.59,0
YLR119W,TAP,%,-,0.65,0
YLR120C,Both,5.44E+03,-,0.51,0
YLR121C,Both,%,-,0.39,0
YLR122C,None,-,-,-0.06,1
YLR123C,None,-,-,-0.25,1
YLR124W,None,-,-,-0.04,1
YLR125W,None,-,-,0.71,0
YLR126C,Both,1.51E+03,-,0.61,0
YLR127C,Both,4.32E+02,-,0.67,0
YLR128W,None,-,-,0.43,0
YLR129W,Both,9.62E+03,-,0.83,0
YLR130C,Both,#,-,0.52,0
YLR131C,Both,5.38E+02,-,0.61,0
YLR132C,Both,4.86E+02,-,0.39,0
YLR133W,Both,3.93E+03,-,0.76,0
YLR134W,Both,4.71E+05,-,0.66,0
YLR135W,Both,2.74E+02,-,0.74,0
YLR136C,GFP,-,-,0.53,0
YLR137W,TAP,4.68E+02,-,0.42,0
YLR138W,Both,1.48E+03,-,0.77,0
YLR139C,Both,3.43E+03,-,0.39,0
YLR140W,None,-,-,0.15,1
YLR141W,Both,%,-,0.19,0
YLR142W,Both,1.84E+02,-,0.67,0
YLR143W,Both,2.27E+03,-,0.78,0
YLR144C,Both,1.42E+03,-,0.67,0
YLR145W,Both,5.56E+02,-,0.37,0
YLR146C,Both,3.87E+03,-,0.72,0
YLR147C,None,-,-,0.25,0
YLR148W,Both,2.02E+03,-,0.63,0
YLR149C,Both,%,-,0.61,0
YLR149C-A,None,-,-,0.08,1
YLR150W,Both,4.68E+04,-,0.62,0
YLR151C,TAP,2.38E+02,-,0.54,0
YLR152C,None,-,-,0.57,0
YLR153C,Both,2.25E+05,-,0.69,0
YLR154C,Both,5.56E+02,-,0.41,0
YLR155C,None,-,-,0.61,0
YLR156W,None,-,-,-0.04,1
YLR157C,None,-,-,0.61,0
YLR158C,None,-,-,0.61,0
YLR159W,None,-,-,-0.04,1
YLR160C,None,-,-,0.61,0
YLR161W,None,-,-,-0.04,1
YLR162W,None,-,-,-0.08,1
YLR163C,Both,1.36E+03,1.08E+02,0.8,0
YLR164W,None,-,-,0.33,0
YLR165C,TAP,%,-,0.48,0
YLR166C,Both,2.34E+03,-,0.71,0
YLR167W,None,-,-,0.51,0
YLR168C,Both,2.91E+03,-,0.64,0
YLR169W,None,-,-,-0.16,1
YLR170C,TAP,6.37E+03,-,0.38,0
YLR171W,None,-,-,0.02,1
YLR172C,Both,1.35E+04,-,0.73,0
YLR173W,None,-,-,0.45,0
YLR174W,TAP,2.62E+03,-,0.77,0
YLR175W,Both,3.36E+04,2.87E+03,0.79,0
YLR176C,Both,3.77E+02,-,0.46,0
YLR177W,Both,1.55E+03,-,0.48,0
YLR178C,Both,1.03E+03,-,0.47,0
YLR179C,Both,6.23E+03,-,0.51,0
YLR180W,Both,1.03E+05,-,0.62,0
YLR181C,Both,4.40E+03,-,0.68,0
YLR182W,Both,3.34E+03,-,0.78,0
YLR183C,Both,2.84E+02,-,0.68,0
YLR184W,None,-,-,0.01,1
YLR185W,Both,2.18E+04,-,0.35,0
YLR186W,GFP,-,-,0.68,0
YLR187W,Both,%,-,0.73,0
YLR188W,Both,1.04E+03,-,0.63,0
YLR189C,Both,3.96E+02,-,0.8,0
YLR190W,Both,1.07E+03,-,0.73,0
YLR191W,Both,7.90E+03,-,0.44,0
YLR192C,Both,1.79E+04,-,0.86,0
YLR193C,Both,7.04E+02,-,0.34,0
YLR194C,Both,6.88E+02,-,0.29,0
YLR195C,GFP,-,-,0.71,0
YLR196W,Both,4.38E+04,-,0.86,0
YLR197W,Both,1.35E+04,5.78E+03,0.83,0
YLR198C,None,-,-,-0.02,1
YLR199C,Both,1.35E+03,-,0.52,0
YLR200W,Both,7.84E+02,-,0.64,0
YLR201C,Both,3.42E+03,-,0.62,0
YLR202C,None,-,-,-0.1,1
YLR203C,Both,4.80E+03,-,0.59,0
YLR204W,GFP,-,-,0.18,0
YLR205C,None,-,-,0.29,0
YLR206W,Both,1.97E+03,-,0.42,0
YLR207W,None,-,-,0.72,0
YLR208W,Both,2.14E+04,-,0.63,0
YLR209C,TAP,1.63E+03,-,0.62,0
YLR210W,Both,9.89E+01,-,0.7,0
YLR211C,Both,#,-,0.62,0
YLR212C,Both,7.20E+03,1.04E+03,0.68,0
YLR213C,None,-,-,0.52,0
YLR214W,TAP,8.92E+02,-,0.6,0
YLR215C,Both,4.85E+03,-,0.71,0
YLR216C,Both,1.86E+04,-,0.8,0
YLR217W,None,-,-,0.08,1
YLR218C,Both,9.07E+02,-,0.4,0
YLR219W,Both,1.31E+02,-,0.64,0
YLR220W,Both,2.84E+03,-,0.49,0
YLR221C,Both,2.94E+03,-,0.8,0
YLR222C,Both,8.07E+03,-,0.86,0
YLR223C,Both,1.43E+03,-,0.79,0
YLR224W,None,-,-,0.6,0
YLR225C,Both,3.99E+03,-,0.72,0
YLR226W,Both,2.91E+03,-,0.68,0
YLR227C,None,-,-,0.61,0
YLR228C,Both,7.86E+01,-,0.7,0
YLR229C,None,-,-,0.57,0
YLR230W,None,-,-,-0.14,1
YLR231C,Both,3.06E+03,-,0.77,0
YLR232W,None,-,-,0.21,1
YLR233C,None,-,-,0.65,0
YLR234W,Both,4.68E+02,-,0.39,0
YLR235C,None,-,-,-0.03,1
YLR236C,None,-,-,0.11,1
YLR237W,Both,3.12E+03,-,0.51,0
YLR238W,None,-,-,0.65,0
YLR239C,Both,1.20E+03,-,0.57,0
YLR240W,Both,1.08E+03,-,0.7,0
YLR241W,None,-,-,0.56,0
YLR242C,None,-,-,0.15,0
YLR243W,None,-,-,0.6,0
YLR244C,Both,1.96E+04,-,0.72,0
YLR245C,Both,3.12E+03,-,0.31,0
YLR246W,None,-,-,0.29,0
YLR247C,Both,1.43E+02,-,0.76,0
YLR248W,Both,1.79E+03,-,0.83,0
YLR249W,Both,8.71E+05,-,0.72,0
YLR250W,Both,6.90E+03,-,0.71,0
YLR251W,TAP,1.87E+03,-,0.4,0
YLR252W,None,-,-,0.02,1
YLR253W,Both,1.60E+03,-,0.65,0
YLR254C,Both,1.54E+03,-,0.51,0
YLR255C,None,-,-,-0.11,1
YLR256W,None,-,-,0.71,0
YLR257W,Both,1.86E+04,-,0.75,0
YLR258W,Both,1.46E+04,-,0.78,0
YLR259C,GFP,-,-,0.77,0
YLR260W,Both,1.76E+03,-,0.72,0
YLR261C,None,-,-,0.02,1
YLR262C,Both,7.72E+03,-,0.72,0
YLR262C-A,Both,3.10E+03,-,0.55,0
YLR263W,GFP,-,-,0.74,0
YLR264W,Both,8.60E+03,-,0.34,0
YLR265C,Both,3.77E+02,-,0.54,0
YLR266C,GFP,-,-,0.59,0
YLR267W,None,-,-,0.57,0
YLR268W,Both,3.96E+02,-,0.53,0
YLR269C,None,-,-,0.14,1
YLR270W,Both,9.92E+03,-,0.74,0
YLR271W,Both,1.47E+03,-,0.62,0
YLR272C,Both,2.54E+03,-,0.78,0
YLR273C,None,-,-,0.65,0
YLR274W,TAP,1.03E+04,1.55E+03,0.81,0
YLR275W,Both,7.99E+02,-,0.48,0
YLR276C,None,-,-,0.82,0
YLR277C,Both,1.74E+04,1.90E+03,0.84,0
YLR278C,Both,1.08E+03,-,0.66,0
YLR279W,None,-,-,-0.31,1
YLR280C,None,-,-,-0.1,1
YLR281C,Both,#,-,0,0
YLR282C,None,-,-,0.07,1
YLR283W,Both,#,-,0.55,0
YLR284C,None,-,-,0.63,0
YLR285W,Both,7.28E+03,-,0.67,0
YLR286C,Both,6.35E+03,-,0.57,0
YLR287C,Both,9.10E+03,-,0.76,0
YLR287C-A,Both,3.76E+04,-,0.48,0
YLR288C,TAP,4.14E+02,-,0.59,0
YLR289W,Both,1.89E+03,-,0.67,0
YLR290C,Both,1.42E+03,-,0.7,0
YLR291C,Both,6.65E+03,9.51E+02,0.68,0
YLR292C,Both,5.29E+03,-,0.66,0
YLR293C,None,-,-,0.67,0
YLR294C,None,-,-,0.28,0
YLR295C,Both,6.14E+03,-,0.59,0
YLR296W,None,-,-,0.18,1
YLR297W,Both,9.22E+02,-,0.42,0
YLR298C,Both,2.14E+03,-,0.39,0
YLR299W,Both,6.72E+02,-,0.64,0
YLR300W,Both,4.28E+03,-,0.7,0
YLR301W,Both,1.54E+04,-,0.72,0
YLR302C,None,-,-,0.26,0
YLR303W,None,-,-,0.68,0
YLR304C,TAP,9.67E+04,-,0.72,0
YLR305C,TAP,8.46E+02,-,0.87,0
YLR306W,None,-,-,0.6,0
YLR307W,None,-,-,0.63,0
YLR308W,None,-,-,0.52,0
YLR309C,Both,2.35E+03,-,0.73,0
YLR310C,Both,3.19E+02,-,0.8,0
YLR311C,None,-,-,-0.09,1
YLR312C,None,-,-,0.49,0
YLR312W-A,Both,6.49E+03,-,0.47,0
YLR313C,Both,6.72E+02,-,0.64,0
YLR314C,None,-,-,0.79,0
YLR315W,Both,1.63E+03,-,0.25,0
YLR316C,Both,8.92E+02,-,0.36,0
YLR317W,None,-,-,-0.1,1
YLR318W,None,-,-,0.66,0
YLR319C,Both,2.61E+03,-,0.82,0
YLR320W,None,-,-,0.79,0
YLR321C,Both,3.94E+03,5.37E+02,0.7,0
YLR322W,None,-,-,-0.04,1
YLR323C,Both,9.96E+02,-,0.49,0
YLR324W,Both,4.57E+03,-,0.74,0
YLR325C,Both,5.02E+04,-,0.55,0
YLR326W,Both,1.52E+03,-,0.43,0
YLR327C,Both,5.04E+02,-,0.28,0
YLR328W,Both,5.13E+03,-,0.77,0
YLR329W,None,-,-,0.26,0
YLR330W,Both,1.72E+02,-,0.78,0
YLR331C,None,-,-,0.5,0
YLR332W,Both,%,-,0.27,0
YLR333C,Both,1.62E+05,-,0.56,0
YLR334C,None,-,-,0.11,1
YLR335W,Both,2.96E+03,-,0.75,0
YLR336C,Both,3.06E+03,-,0.8,0
YLR337C,Both,%,-,0.29,0
YLR338W,None,-,-,0.25,0
YLR339C,None,-,-,0.24,0
YLR340W,None,-,-,0.67,0
YLR341W,None,-,-,0.65,0
YLR342W,Both,#,-,0.72,0
YLR343W,GFP,-,-,0.72,0
YLR344W,Both,#,-,0.59,0
YLR345W,Both,3.38E+03,-,0.69,0
YLR346C,Both,%,-,0.54,0
YLR347C,Both,5.17E+04,1.81E+03,0.77,0
YLR348C,Both,3.39E+03,-,0.43,0
YLR349W,None,-,-,0.02,1
YLR350W,Both,5.24E+03,-,0.16,0
YLR351C,Both,4.51E+03,-,0.58,0
YLR352W,TAP,1.25E+02,-,0.72,0
YLR353W,GFP,-,-,0.57,0
YLR354C,Both,5.30E+04,-,0.73,0
YLR355C,TAP,8.83E+05,3.48E+05,0.63,0
YLR356W,Both,%,-,0.45,0
YLR357W,Both,2.33E+03,-,0.73,0
YLR358C,TAP,1.73E+03,-,0.2,0
YLR359W,None,-,-,0.79,0
YLR360W,Both,1.07E+03,-,0.65,0
YLR361C,TAP,1.94E+03,-,0.6,0
YLR362W,Both,7.36E+02,-,0.87,0
YLR363C,Both,6.09E+03,-,0.69,0
YLR363W-A,Both,6.65E+03,-,0.5,0
YLR364W,Both,5.73E+02,-,0.56,0
YLR365W,None,-,-,-0.03,1
YLR366W,None,-,-,-0.16,1
YLR367W,Both,1.97E+04,-,0.61,0
YLR368W,None,-,-,0.59,0
YLR369W,Both,5.55E+03,-,0.84,0
YLR370C,Both,1.92E+03,-,0.42,0
YLR371W,GFP,-,-,0.77,0
YLR372W,Both,#,-,0.5,0
YLR373C,Both,2.95E+03,-,0.62,0
YLR374C,None,-,-,0.03,1
YLR375W,Both,1.24E+03,-,0.34,0
YLR376C,Both,8.76E+02,-,0.4,0
YLR377C,TAP,5.89E+02,-,0.7,0
YLR378C,Both,2.48E+04,-,0.52,0
YLR379W,None,-,-,0.14,1
YLR380W,Both,9.60E+03,-,0.56,0
YLR381W,Both,3.19E+02,-,0.48,0
YLR382C,Both,2.12E+03,-,0.72,0
YLR383W,Both,3.39E+02,-,0.81,0
YLR384C,Both,1.05E+04,-,0.88,0
YLR385C,Both,4.24E+03,-,0.26,0
YLR386W,Both,1.24E+04,-,0.8,0
YLR387C,Both,2.24E+03,-,0.8,0
YLR388W,Both,6.49E+03,-,0.25,0
YLR389C,None,-,-,0.85,0
YLR390W,Both,1.89E+03,-,0.28,0
YLR390W-A,Both,4.20E+04,-,0.33,0
YLR392C,Both,7.36E+02,-,0.6,0
YLR393W,Both,1.89E+03,-,0.55,0
YLR394W,None,-,-,0.35,0
YLR395C,Both,6.72E+02,-,0.35,0
YLR396C,Both,8.30E+02,-,0.69,0
YLR397C,Both,7.99E+02,-,0.75,0
YLR398C,Both,5.77E+03,-,0.89,0
YLR399C,Both,8.10E+03,-,0.81,0
YLR400W,None,-,-,-0.1,1
YLR401C,Both,3.63E+03,-,0.8,0
YLR402W,None,-,-,-0.09,1
YLR403W,Both,2.59E+02,-,0.56,0
YLR404W,Both,8.46E+02,-,0.44,0
YLR405W,Both,3.39E+03,-,0.53,0
YLR406C,Both,5.75E+04,-,0.63,0
YLR407W,Both,3.14E+03,-,0.6,0
YLR408C,Both,4.68E+02,-,0.37,0
YLR409C,Both,2.02E+03,-,0.81,0
YLR410W,Both,8.81E+03,-,0.84,0
YLR411W,None,-,-,0.46,0
YLR412W,Both,6.49E+03,-,0.57,0
YLR413W,Both,4.28E+03,-,0.55,0
YLR414C,Both,1.66E+03,-,0.19,0
YLR415C,None,-,-,0,1
YLR416C,None,-,-,0.06,1
YLR417W,Both,2.47E+03,-,0.6,0
YLR418C,Both,5.38E+02,-,0.69,0
YLR419W,Both,1.95E+02,-,0.89,0
YLR420W,Both,1.27E+04,-,0.69,0
YLR421C,Both,1.22E+04,-,0.63,0
YLR422W,Both,2.38E+02,-,0.77,0
YLR423C,Both,3.58E+02,-,0.74,0
YLR424W,Both,5.56E+02,-,0.69,0
YLR425W,None,-,-,0.79,0
YLR426W,TAP,2.13E+03,-,0.17,0
YLR427W,Both,9.22E+02,-,0.76,0
YLR428C,None,-,-,0.1,1
YLR429W,Both,2.90E+03,-,0.87,0
YLR430W,Both,1.25E+02,-,0.9,0
YLR431C,TAP,5.38E+02,-,0.55,0
YLR432W,Both,2.63E+04,-,0.69,0
YLR433C,Both,7.04E+03,-,0.83,0
YLR434C,None,-,-,0.3,0
YLR435W,Both,1.34E+04,-,0.77,0
YLR436C,Both,1.08E+03,-,0.55,0
YLR437C,None,-,-,0.17,1
YLR438C-A,Both,7.06E+03,-,0.22,0
YLR438W,Both,7.20E+04,-,0.49,0
YLR439W,Both,7.70E+03,-,0.39,0
YLR440C,Both,1.84E+03,-,0.67,0
YLR441C,Both,9.24E+04,-,0.67,0
YLR442C,Both,1.40E+03,-,0.75,0
YLR443W,None,-,-,0.5,0
YLR444C,None,-,-,0.1,1
YLR445W,None,-,-,0.57,0
YLR446W,None,-,-,0.51,0
YLR447C,Both,1.63E+03,-,0.74,0
YLR448W,Both,3.84E+04,-,0.6,0
YLR449W,Both,1.41E+04,-,0.82,0
YLR450W,Both,1.49E+02,-,0.77,0
YLR451W,Both,1.25E+02,-,0.71,0
YLR452C,Both,5.98E+03,-,0.71,0
YLR453C,Both,5.89E+02,-,0.57,0
YLR454W,Both,1.36E+03,-,0.84,0
YLR455W,Both,2.61E+03,-,0.62,0
YLR456W,TAP,5.89E+02,-,0.49,0
YLR457C,Both,3.39E+02,-,0.48,0
YLR458W,None,-,-,-0.09,1
YLR459W,None,-,-,0.21,0
YLR460C,TAP,7.99E+02,-,0.71,0
YLR461W,None,-,-,0.5,0
YLR462W,TAP,%,-,0.42,0
YLR463C,None,-,-,0.02,1
YLR464W,None,-,-,0.37,0
YLR465C,None,-,-,0.2,1
YLR466W,None,-,-,0.47,0
YLR467W,None,-,-,0.55,0
YML001W,Both,5.53E+03,-,0.73,0
YML002W,None,-,-,0.71,0
YML003W,TAP,#,-,0.5,0
YML004C,Both,2.57E+03,-,0.69,0
YML005W,Both,6.56E+02,-,0.61,0
YML006C,Both,2.22E+02,-,0.69,0
YML007C-A,Both,%,-,-0.13,0
YML007W,Both,1.62E+03,-,0.73,0
YML008C,Both,5.38E+04,-,0.77,0
YML009C,Both,2.48E+03,-,0.26,0
YML010C-B,None,-,-,-,0
YML010W,Both,2.34E+03,-,0.8,0
YML010W-A,None,-,-,-,0
YML011C,Both,1.08E+03,-,0.46,0
YML012W,Both,5.17E+04,-,0.57,0
YML013C-A,None,-,-,-,0
YML013W,Both,1.26E+04,-,0.67,0
YML014W,Both,2.36E+03,-,0.46,0
YML015C,None,-,-,0.52,0
YML016C,Both,2.17E+02,-,0.63,0
YML017W,Both,2.19E+03,-,0.61,0
YML018C,Both,2.01E+03,-,0.47,0
YML019W,TAP,1.08E+03,-,0.48,0
YML020W,Both,3.77E+02,-,0.74,0
YML021C,Both,4.82E+03,-,0.59,0
YML022W,Both,1.12E+04,-,0.71,0
YML023C,Both,9.07E+02,-,0.51,0
YML024W,Both,3.09E+04,-,0.56,0
YML025C,Both,1.18E+03,-,0.7,0
YML026C,Both,1.12E+05,-,0.53,0
YML027W,Both,8.61E+02,-,0.39,0
YML028W,Both,3.78E+05,-,0.62,0
YML029W,Both,1.89E+03,-,0.66,0
YML030W,Both,1.21E+03,-,0.6,0
YML031W,Both,3.03E+03,2.38E+02,0.53,0
YML032C,Both,1.08E+03,-,0.72,0
YML034W,Both,2.10E+03,-,0.78,0
YML035C,Both,3.91E+03,-,0.82,0
YML035C-A,None,-,-,-,0
YML036W,None,-,-,0.37,0
YML037C,Both,8.15E+02,-,0.69,0
YML038C,Both,#,-,0.54,0
YML041C,Both,#,-,0.41,0
YML042W,TAP,4.50E+02,-,0.81,0
YML043C,Both,4.76E+02,6.62E+01,0.73,0
YML046W,Both,4.46E+03,2.00E+02,0.56,0
YML047C,None,-,-,0.33,0
YML048W,Both,2.14E+04,-,0.78,0
YML048W-A,None,-,-,-,0
YML049C,GFP,-,-,0.82,0
YML050W,None,-,-,0.68,0
YML051W,Both,7.84E+02,-,0.59,0
YML052W,Both,1.70E+04,-,0.38,0
YML053C,Both,6.56E+02,-,0.32,0
YML054C,TAP,4.59E+03,-,0.78,0
YML055W,Both,4.89E+03,-,0.6,0
YML056C,Both,2.97E+03,-,0.68,0
YML057W,Both,7.11E+03,-,0.73,0
YML058C-A,None,-,-,-,0
YML058W,Both,1.88E+04,-,0.54,0
YML058W-A,Both,#,-,0.3,0
YML059C,Both,5.21E+02,-,0.83,0
YML060W,Both,3.69E+03,-,0.67,0
YML061C,TAP,2.59E+02,-,0.84,0
YML062C,Both,5.91E+03,-,0.63,0
YML063W,Both,1.07E+05,-,0.66,0
YML064C,Both,5.73E+02,-,0.28,0
YML065W,TAP,3.93E+03,5.35E+02,0.83,0
YML066C,None,-,-,0.38,0
YML067C,Both,3.00E+03,-,0.68,0
YML068W,TAP,8.46E+02,-,0.49,0
YML069W,Both,2.24E+04,9.56E+03,0.86,0
YML070W,Both,2.36E+04,-,0.8,0
YML071C,Both,6.44E+03,-,0.73,0
YML072C,Both,4.28E+03,-,0.91,0
YML073C,Both,3.71E+04,-,0.58,0
YML074C,Both,9.49E+03,-,0.81,0
YML075C,Both,%,-,0.77,0
YML076C,Both,9.07E+02,-,0.73,0
YML077W,None,-,-,0.25,0
YML078W,Both,1.96E+03,-,0.63,0
YML079W,Both,%,-,0.72,0
YML080W,Both,1.86E+03,-,0.79,0
YML081C-A,Both,6.54E+03,-,0.47,0
YML081W,Both,6.72E+02,-,0.75,0
YML082W,Both,2.81E+03,-,0.58,0
YML083C,None,-,-,0.31,0
YML084W,None,-,-,0.02,1
YML085C,Both,5.59E+03,-,0.8,0
YML086C,Both,6.19E+03,-,0.76,0
YML087C,None,-,-,0.37,0
YML088W,Both,6.39E+02,-,0.71,0
YML089C,None,-,-,-0.11,1
YML090W,None,-,-,0.15,1
YML091C,Both,1.16E+03,-,0.75,0
YML092C,Both,7.06E+03,-,0.65,0
YML093W,Both,1.47E+03,-,0.89,0
YML094W,Both,2.90E+03,-,0.59,0
YML095C,GFP,-,-,0.45,0
YML095C-A,None,-,-,-,0
YML096W,Both,3.75E+03,-,0.69,0
YML097C,Both,4.28E+03,-,0.74,0
YML098W,Both,2.08E+03,-,0.56,0
YML099C,GFP,-,-,0.83,0
YML100W,Both,1.96E+03,-,0.7,0
YML100W-A,None,-,-,-,0
YML101C,Both,1.85E+03,-,0.23,0
YML102C-A,None,-,-,-,0
YML102W,Both,2.13E+03,-,0.33,0
YML103C,Both,1.17E+04,-,0.72,0
YML104C,Both,7.84E+02,-,0.76,0
YML105C,Both,#,-,0.7,0
YML106W,Both,3.93E+04,-,0.66,0
YML107C,Both,2.21E+03,-,0.49,0
YML108W,Both,2.61E+03,-,0.62,0
YML109W,Both,1.05E+02,-,0.8,0
YML110C,Both,8.10E+03,-,0.73,0
YML111W,Both,3.39E+02,-,0.78,0
YML112W,Both,2.64E+03,-,0.37,0
YML113W,Both,4.70E+03,-,0.18,0
YML114C,Both,4.68E+03,5.22E+02,0.59,0
YML115C,Both,4.75E+03,-,0.82,0
YML116W,Both,1.72E+03,-,0.36,0
YML117W,Both,1.54E+03,-,0.77,0
YML117W-A,None,-,-,-,0
YML118W,TAP,4.14E+02,-,0.65,0
YML119W,None,-,-,0.4,0
YML120C,Both,5.24E+03,-,0.7,0
YML121W,Both,9.07E+02,-,0.49,0
YML122C,None,-,-,-0.08,1
YML123C,TAP,3.35E+05,-,0.62,0
YML124C,Both,1.23E+04,-,0.73,0
YML125C,Both,2.90E+04,-,0.66,0
YML126C,Both,3.48E+04,-,0.74,0
YML127W,Both,2.61E+03,-,0.65,0
YML128C,Both,1.07E+03,-,0.55,0
YML129C,Both,6.84E+03,-,0.39,0
YML130C,None,-,-,0.78,0
YML131W,Both,%,-,0.74,0
YML132W,Both,6.39E+02,-,0.37,0
YML133C,None,-,-,0.51,0
YMR001C,Both,1.48E+03,3.10E+02,0.8,0
YMR002W,Both,6.96E+03,-,0.4,0
YMR003W,Both,2.82E+03,-,0.33,0
YMR004W,Both,2.21E+03,-,0.68,0
YMR005W,TAP,1.94E+03,-,0.7,0
YMR006C,TAP,6.23E+02,-,0.65,0
YMR007W,None,-,-,0.21,1
YMR008C,None,-,-,0.69,0
YMR009W,GFP,-,-,0.67,0
YMR010W,Both,9.37E+02,-,0.54,0
YMR011W,Both,#,-,0.53,0
YMR012W,Both,1.70E+04,-,0.88,0
YMR013C,None,-,-,0.29,0
YMR013W-A,None,-,-,-0.08,1
YMR014W,Both,3.25E+03,-,0.77,0
YMR015C,Both,2.47E+04,-,0.74,0
YMR016C,Both,3.14E+02,-,0.46,0
YMR017W,None,-,-,0.56,0
YMR018W,None,-,-,0.66,0
YMR019W,Both,9.89E+01,-,0.69,0
